Okul,Okul Türü (Özel veya Devlet),Maliyet
Okulöncesi,Devlet,11750
İlköğretim,Devlet,12370
Ortaokul,Devlet,14207
Lise,Devlet,17744
Üniversite,Devlet,69920
Okulöncesi,Ortalama seviye (fiyat) özel ,60000
İlköğretim,Ortalama seviye (fiyat) özel ,120000
Ortaokul,Ortalama seviye (fiyat) özel ,200000
Lise,Ortalama seviye (fiyat) özel ,240000
Üniversite,Ortalama seviye (fiyat) özel ,240000
Okulöncesi,Üst seviye (fiyat) özel okul,120000
İlköğretim,Üst seviye (fiyat) özel okul,340000
Ortaokul,Üst seviye (fiyat) özel okul,340000
Lise,Üst seviye (fiyat) özel okul,380000
Üniversite,Üst seviye (fiyat) özel okul,400000
